9.999999999999937828e-01,1.000000000000000000e+00,7.858752250671386719e+00,9.999999999999974465e-01,1.000000000000000000e+00,8.420133972167968750e+01
9.987248468560284698e-01,9.999857544898986816e-01,7.765341758728027344e+00,8.623877475207772925e-01,9.975532293319702148e-01,5.935951614379882812e+01
9.999999999999937828e-01,1.000000000000000000e+00,7.858752250671386719e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan
9.999999999999937828e-01,1.000000000000000000e+00,7.858752250671386719e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan
8.163506175740178339e-01,9.624745845794677734e-01,1.368786525726318359e+01,7.626885061697177282e-01,9.360870718955993652e-01,1.554015502929687500e+02
8.375398143614205537e-01,9.654802680015563965e-01,9.741497039794921875e+00,7.774709392457552770e-01,9.169881939888000488e-01,1.176594161987304688e+02
9.847290162090999166e-01,9.967002272605895996e-01,8.651958465576171875e+00,9.837594390664147204e-01,9.970511198043823242e-01,9.837207794189453125e+01
9.999999999999937828e-01,1.000000000000000000e+00,9.062927246093750000e+00,9.999999999999974465e-01,1.000000000000000000e+00,7.120761108398437500e+01
8.072989312512661719e-01,9.846580028533935547e-01,7.043723106384277344e+00,7.292010550616634390e-01,9.879248738288879395e-01,7.675907135009765625e+00
6.901141033857932650e-01,8.896286487579345703e-01,7.183917045593261719e+00,5.748158182122374837e-01,8.378134965896606445e-01,2.881447219848632812e+01
6.613862615799784850e-01,9.110441207885742188e-01,7.242678165435791016e+00,5.391274190081886131e-01,8.973550796508789062e-01,2.597477531433105469e+01
